Date,Top 1 Song,Top 2 Song,Top 3 Song,Top 4 Song,Top 5 Song
2023-01-07,Rockin' Around The Christmas Tree,Jingle Bell Rock,Last Christmas,A Holly Jolly Christmas,It's The Most Wonderful Time Of The Year
2023-01-14,Unholy,Kill Bill,I'm Good (Blue),Rich Flex,Creepin'
2023-01-21,Kill Bill,Unholy,I'm Good (Blue),Creepin',Die For You
2023-01-28,Kill Bill,Anti-Hero,Creepin',Unholy,I'm Good (Blue)
2023-02-04,Kill Bill,Anti-Hero,Creepin',Unholy,I'm Good (Blue)
2023-02-11,Kill Bill,Creepin',Anti-Hero,Unholy,Die For You
2023-02-18,Kill Bill,Last Night,Unholy,Creepin',Cuff It
2023-02-25,Kill Bill,Creepin',"Boy's A Liar, Pt. 2",Last Night,Unholy
2023-03-04,Kill Bill,"Boy's A Liar, Pt. 2",Creepin',Last Night,Die For You
2023-03-11,Flowers,Kill Bill,"Boy's A Liar, Pt. 2",Last Night,Creepin'
2023-03-18,Flowers,Kill Bill,Die For You,"Boy's A Liar, Pt. 2",Creepin'
2023-03-25,Last Night,Kill Bill,Die For You,Creepin',"Boy's A Liar, Pt. 2"
2023-04-01,Last Night,Kill Bill,Creepin',Die For You,"Boy's A Liar, Pt. 2"
2023-04-08,Flowers,Last Night,Kill Bill,Creepin',Die For You
2023-04-15,Kill Bill,Flowers,Creepin',Die For You,"Boy's A Liar, Pt. 2"
2023-04-22,Search & Rescue,Flowers,Kill Bill,Creepin',Calm Down
2023-04-29,Last Night,Flowers,Princess Diana,Ella Baila Sola,Creepin'
2023-05-06,Kill Bill,Flowers,Ella Baila Sola,Un x100to,Calm Down
2023-05-13,Kill Bill,Flowers,Ella Baila Sola,Calm Down,Creepin'
2023-05-20,Kill Bill,Flowers,Ella Baila Sola,Calm Down,Creepin'
2023-05-27,All My Life,Flowers,Kill Bill,Ella Baila Sola,Calm Down
2023-06-03,Flowers,Kill Bill,Calm Down,Favorite Song,Ella Baila Sola
2023-06-10,Karma,Flowers,All My Life,Calm Down,Kill Bill
2023-06-17,Flowers,Calm Down,Fast Car,All My Life,Kill Bill
2023-06-24,Flowers,Fast Car,Calm Down,All My Life,Favorite Song
2023-07-01,Fast Car,Calm Down,Flowers,All My Life,Favorite Song
2023-07-08,Fast Car,Calm Down,Flowers,All My Life,Favorite Song
2023-07-15,Last Night,Fast Car,Calm Down,Flowers,All My Life
2023-07-22,Fast Car,Vampire,Calm Down,I Can See You (Taylor's Version) (From The Vault),Flowers
2023-07-29,Try That In A Small Town,Last Night,Fast Car,Calm Down,Fukumean
2023-08-05,Last Night,Fast Car,Fukumean,Calm Down,Cruel Summer
2023-08-12,Fast Car,Meltdown,Cruel Summer,FE!N,Calm Down
2023-08-19,Fast Car,Cruel Summer,Calm Down,Fukumean,Vampire
2023-08-26,Fast Car,Last Night,Cruel Summer,Calm Down,Vampire
2023-09-02,Fast Car,Last Night,Cruel Summer,Paint The Town Red,Calm Down
2023-09-09,Fast Car,Paint The Town Red,Last Night,Cruel Summer,Rich Men North Of Richmond
2023-09-16,I Remember Everything,Fast Car,Cruel Summer,Last Night,Dance The Night
2023-09-23,Paint The Town Red,I Remember Everything,Fast Car,Cruel Summer,Last Night
2023-09-30,Paint The Town Red,Snooze,Fast Car,I Remember Everything,Cruel Summer
2023-10-07,Snooze,Fast Car,Cruel Summer,I Remember Everything,Last Night
2023-10-14,Snooze,Cruel Summer,Fast Car,3D,I Remember Everything
2023-10-21,IDGAF,Virginia Beach,Paint The Town Red,Calling For You,Slime You Out
2023-10-28,Paint The Town Red,Snooze,IDGAF,Monaco,I Remember Everything
2023-11-04,Paint The Town Red,Snooze,I Remember Everything,Fast Car,Last Night
2023-11-11,Now That We Don't Talk (Taylor's Version) [From The Vault],Slut! (Taylor's Version) [From The Vault],Paint The Town Red,Say Don't Go (Taylor's Version) [From The Vault],Cruel Summer
2023-11-18,Paint The Town Red,Is It Over Now? (Taylor's Version) [From The Vault],Snooze,Standing Next To You,I Remember Everything
2023-11-25,Lovin On Me,Paint The Town Red,Snooze,Is It Over Now? (Taylor's Version) [From The Vault],I Remember Everything
2023-12-02,Cruel Summer,Paint The Town Red,All I Want For Christmas Is You,Snooze,I Remember Everything
2023-12-09,All I Want For Christmas Is You,Lovin On Me,Jingle Bell Rock,Last Christmas,A Holly Jolly Christmas
2023-12-16,All I Want For Christmas Is You,Jingle Bell Rock,Last Christmas,Lovin On Me,A Holly Jolly Christmas
2023-12-23,Rockin' Around The Christmas Tree,Jingle Bell Rock,Last Christmas,A Holly Jolly Christmas,Lovin On Me
2023-12-30,Rockin' Around The Christmas Tree,Jingle Bell Rock,Last Christmas,A Holly Jolly Christmas,Lovin On Me
